country,city,update_time_utc,jams_delay,traffic_index_live,jams_lenght_kms,jams_count,traffic_index_week_ago,update_time_utc_week_ago,travel_time_live_per_10_kms_mins,travel_time_historic_per_10_kms_mins,mins_delay,year
POL,warsaw,2024-11-22 02:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-11-15 02:01:30.000,12.156257340032251,11.96192191783699,0.1943354221952624,2024
NLD,amsterdam,2024-11-29 14:46:30.000,303.3,43.0,54.5,85.0,45.0,2024-11-22 14:46:30.000,14.890658708095696,14.172181455861262,0.7184772522344343,2024
SGP,singapore,2024-11-11 08:01:04.839,282.3,37.0,69.4,99.0,33.0,2024-11-04 08:31:02.708,16.919530585828532,16.50849249328759,0.4110380925409416,2024
FIN,tampere,2024-12-18 17:01:00.000,0.0,23.0,0.0,0.0,18.0,2024-12-11 17:01:30.000,13.343070440832705,12.330906713268854,1.0121637275638484,2024
USA,new-haven,2024-12-13 08:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-12-06 08:01:30.000,7.727984570317784,7.945328553569321,-0.2173439832515367,2024
USA,denver,2024-12-31 01:01:00.000,92.0,21.0,28.3,40.0,31.0,2024-12-24 01:01:00.000,12.245917000253492,12.50212656827512,-0.2562095680216281,2024
CAN,kitchener-waterloo,2024-11-12 17:16:00.000,5.0,17.0,0.3,2.0,15.0,2024-11-05 17:16:30.000,14.095338308712366,13.723113792766233,0.372224515946133,2024
CHE,zurich,2024-11-24 23:01:30.000,0.0,2.0,0.0,0.0,0.0,2024-11-17 23:01:30.000,12.022028582223587,11.713532984063036,0.3084955981605528,2024
NLD,den-bosch,2024-11-02 23:46:30.000,1.2,4.0,0.0,1.0,6.0,2024-10-26 23:01:30.000,8.81933637436968,8.424441777100041,0.3948945972696389,2024
GBR,manchester,2024-12-10 05:01:30.000,2.1,0.0,0.1,1.0,0.0,2024-12-03 05:01:30.000,10.057393878964778,9.7403390521613,0.3170548268034778,2024
ITA,genoa,2024-12-22 02:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-12-15 02:01:30.000,14.842794332994904,14.79444379965771,0.048350533337194,2024
ITA,bari,2024-11-10 00:01:30.001,0.0,2.0,0.0,0.0,5.0,2024-11-03 00:01:30.000,12.424646286295683,12.116001477220738,0.3086448090749449,2024
GBR,sheffield,2024-12-04 13:01:01.913,113.2,30.0,13.9,32.0,34.0,2024-11-27 13:16:11.336,16.471369876233894,15.661864357584696,0.8095055186491962,2024
ESP,barcelona,2024-12-01 22:01:30.000,10.9,4.0,1.7,4.0,4.0,2024-11-24 22:01:30.001,17.203564976893528,16.91133118172772,0.2922337951658065,2024
USA,new-orleans,2024-11-29 18:30:42.270,61.9,19.0,8.4,17.0,30.0,2024-11-22 18:45:36.464,13.460678999093387,13.82536581866752,-0.3646868195741302,2024
GBR,nottingham,2024-10-28 14:31:13.829,22.4,31.0,1.8,7.0,31.0,2024-10-21 14:45:51.046,16.85087439500588,15.811384932152796,1.0394894628530853,2024
NZL,wellington,2024-12-30 10:01:30.000,0.0,3.0,0.0,0.0,3.0,2024-12-23 10:01:30.000,14.360053121917314,13.804561352796108,0.5554917691212076,2024
DEU,hamburg,2025-01-12 09:46:00.000,5.6,11.0,0.2,3.0,8.0,2025-01-05 09:46:00.000,13.388622898917236,13.266308910696225,0.1223139882210109,2025
ITA,catania,2024-10-11 13:01:00.000,63.1,29.0,15.9,16.0,30.0,2024-10-04 13:01:00.000,15.516831870403111,14.147934733575164,1.3688971368279486,2024
ITA,trieste,2024-11-03 06:46:30.001,0.0,7.0,0.0,0.0,9.0,2024-10-27 06:46:30.001,12.285878665870698,11.813223070149268,0.4726555957214309,2024
USA,albany,2024-10-14 14:31:00.919,14.9,11.0,2.1,4.0,12.0,2024-10-07 14:00:56.690,10.028352791669422,9.465415397707044,0.562937393962379,2024
ITA,cagliari,2025-01-03 02:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-12-27 02:01:30.000,10.986906208361123,11.018084246483795,-0.03117803812267,2025
BRA,rio-de-janeiro,2024-12-15 21:01:09.388,348.9,30.0,78.1,97.0,20.0,2024-12-08 21:46:09.462,18.027940831908463,16.438619831421597,1.5893210004868656,2024
USA,boise,2024-11-14 00:31:00.000,144.0,51.0,34.2,43.0,61.0,2024-11-07 00:46:00.000,16.215918227339984,15.32076000786522,0.895158219474764,2024
EGY,cairo,2024-11-19 12:46:30.000,811.6,15.0,101.3,203.0,18.0,2024-11-12 12:46:30.000,15.573623141972648,15.35659111352932,0.2170320284433256,2024
DEU,frankfurt-am-main,2024-11-23 15:01:09.247,172.9,37.0,16.6,41.0,42.0,2024-11-16 15:00:53.427,15.772025317412185,14.45173933886733,1.3202859785448524,2024
NOR,trondheim,2024-11-02 22:46:30.000,0.6,11.0,0.8,1.0,4.0,2024-10-26 22:01:30.000,15.476427413372525,14.379841539756091,1.0965858736164336,2024
USA,akron,2024-11-05 07:01:30.000,5.3,0.0,1.3,1.0,0.0,2024-10-29 07:01:30.000,8.123136878048761,8.21567413224198,-0.0925372541932194,2024
FRA,reims,2024-10-18 17:00:39.197,25.9,29.0,1.8,5.0,37.0,2024-10-11 17:01:10.144,13.853192330773911,13.27121665759119,0.5819756731827237,2024
USA,buffalo,2025-01-04 19:00:38.736,22.5,9.0,1.4,5.0,10.0,2024-12-28 19:01:04.496,11.915537228265926,12.183973180498258,-0.2684359522323323,2025
FRA,le-mans,2025-01-04 04:16:30.000,0.0,2.0,0.0,0.0,1.0,2024-12-28 04:31:30.000,10.304083830350976,10.184006934772842,0.1200768955781335,2025
DEU,aachen,2024-11-28 05:46:08.074,0.0,10.0,0.0,0.0,13.0,2024-11-21 05:46:13.178,10.96231223442298,10.701220406171224,0.2610918282517556,2024
BRA,salvador,2024-11-12 05:01:30.001,1.5,0.0,0.0,1.0,0.0,2024-11-05 05:01:30.001,11.995092599339984,12.409720043087768,-0.4146274437477828,2024
GBR,birmingham,2024-11-09 17:46:04.069,1521.1,46.0,158.0,288.0,42.0,2024-11-02 17:31:01.851,17.007857465229524,14.26839624918162,2.7394612160479035,2024
KWT,kuwait-city,2024-11-21 15:01:30.001,644.1,44.0,144.4,184.0,43.0,2024-11-14 15:01:00.000,13.192348072167436,11.11422697705523,2.078121095112208,2024
SAU,mecca,2024-10-23 06:01:30.001,26.5,0.0,3.3,9.0,0.0,2024-10-16 06:01:30.000,9.727025651796051,10.164589109521952,-0.4375634577259006,2024
USA,albany,2024-12-26 21:45:49.334,29.1,15.0,3.1,4.0,35.0,2024-12-19 21:45:25.732,10.693056902364695,11.731009762944778,-1.0379528605800823,2024
USA,charlotte,2025-01-02 06:01:30.001,0.0,0.0,0.0,0.0,0.0,2024-12-26 06:01:30.001,8.154370613636667,8.274930543488228,-0.1205599298515611,2025
FRA,marseille,2024-12-19 23:01:30.000,0.0,3.0,0.0,0.0,2.0,2024-12-12 23:01:00.000,14.888208334200849,14.922293241481386,-0.0340849072805387,2024
CAN,quebec,2024-11-12 05:01:30.000,0.0,1.0,0.0,0.0,0.0,2024-11-05 05:01:30.000,11.038190198748827,10.827624722290338,0.2105654764584894,2024
AUT,graz,2024-12-03 01:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-11-26 01:01:30.000,10.420639751078536,10.451258990805382,-0.0306192397268461,2024
AUS,canberra,2024-11-28 04:46:00.000,45.2,24.0,5.3,15.0,24.0,2024-11-21 04:46:00.000,13.522724199741942,13.059143584578791,0.4635806151631509,2024
FIN,turku,2024-11-23 07:01:30.001,3.4,10.0,0.3,1.0,8.0,2024-11-16 07:46:30.000,13.468409097445283,12.66826838949888,0.8001407079464045,2024
ARE,dubai,2025-01-04 06:46:30.000,644.8,18.0,89.1,196.0,19.0,2024-12-28 06:46:30.001,11.048331175794608,11.045296901876968,0.0030342739176401,2025
ESP,cartagena,2024-10-16 14:01:00.001,0.0,11.0,0.0,0.0,11.0,2024-10-09 14:01:00.000,13.014563114939705,12.668305244664657,0.3462578702750463,2024
CAN,halifax,2024-10-10 10:46:30.000,229.3,57.0,35.4,30.0,56.0,2024-10-03 10:46:30.001,19.146189539389454,15.662709595615125,3.483479943774329,2024
ITA,florence,2024-10-04 19:01:30.000,22.0,22.0,1.2,5.0,16.0,2024-09-27 19:01:30.000,15.275548278940889,14.172026391909894,1.103521887030995,2024
CAN,winnipeg,2024-10-07 12:46:00.000,122.0,23.0,23.6,28.0,4.0,2024-09-30 12:46:00.000,14.827883101328966,13.675867399692168,1.152015701636799,2024
USA,cape-coral-fort-myers,2024-10-28 04:01:30.001,0.0,0.0,0.0,0.0,0.0,2024-10-21 04:01:30.001,8.817808613627534,8.705570327191129,0.1122382864364048,2024
FRA,reims,2024-12-04 16:45:24.665,164.5,48.0,27.0,58.0,52.0,2024-11-27 16:45:16.524,16.30813130039418,14.336043893048776,1.9720874073454056,2024
PRT,porto,2024-10-20 12:01:30.000,19.2,10.0,3.1,9.0,18.0,2024-10-13 12:01:30.001,12.798554258191198,12.987145149522002,-0.1885908913308043,2024
NLD,amsterdam,2024-10-02 17:01:30.000,28.5,34.0,3.7,14.0,25.0,2024-09-25 17:01:30.000,14.30786779426459,12.96539788744174,1.3424699068228492,2024
GBR,sheffield,2024-10-11 07:46:05.998,287.4,50.0,44.6,85.0,51.0,2024-10-04 07:45:41.980,19.03439399402262,16.133528669041382,2.900865324981236,2024
USA,new-haven,2024-10-23 03:01:30.000,0.0,2.0,0.0,0.0,2.0,2024-10-16 03:01:30.000,9.986206378284276,9.853436893287862,0.1327694849964142,2024
CHE,bern,2024-12-19 17:01:30.000,75.3,55.0,7.5,17.0,50.0,2024-12-12 17:01:30.000,18.035743274249647,16.51434227293452,1.521401001315127,2024
IRL,limerick,2024-12-26 09:16:30.000,0.0,2.0,0.0,0.0,59.0,2024-12-19 09:01:30.000,11.58622804390564,11.131079574629428,0.455148469276212,2024
CHE,geneva,2024-11-24 19:01:30.000,11.1,18.0,1.0,3.0,13.0,2024-11-17 19:01:30.000,18.851040993959888,17.723803113797253,1.1272378801626353,2024
TUR,mersin,2024-11-14 04:31:00.523,7.3,15.0,1.5,2.0,19.0,2024-11-07 04:46:00.000,14.473859285379987,13.967603590639094,0.5062556947408954,2024
FRA,strasbourg,2024-12-13 18:01:13.934,70.9,39.0,9.8,25.0,60.0,2024-12-06 18:00:17.153,18.767615861900136,17.68777524763906,1.0798406142610766,2024
FRA,montpellier,2024-10-18 19:01:00.000,8.3,17.0,0.6,3.0,18.0,2024-10-11 19:01:00.001,14.509418750995188,14.12296861751564,0.3864501334795491,2024
CAN,halifax,2024-12-23 23:31:00.000,40.0,24.0,6.9,11.0,23.0,2024-12-16 23:01:00.000,16.40749594896892,14.487410403640222,1.920085545328696,2024
AUS,canberra,2025-01-05 18:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-12-29 18:01:30.000,9.600024016372563,9.5446012410646,0.0554227753079636,2025
FRA,toulon,2025-01-07 23:01:30.001,9.3,0.0,0.8,2.0,1.0,2024-12-31 23:46:30.000,14.453098826403952,14.707299601560868,-0.2542007751569155,2025
GBR,liverpool,2025-01-06 18:01:00.000,67.9,35.0,6.9,19.0,23.0,2024-12-30 18:01:00.001,17.241968851612974,16.305310628179747,0.936658223433227,2025
ESP,cartagena,2024-10-28 00:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-10-21 00:01:30.000,12.084330372922896,12.1676214616438,-0.0832910887209035,2024
PRT,lisbon,2024-10-29 20:01:30.001,144.6,43.0,22.3,40.0,23.0,2024-10-22 20:01:30.000,21.252673187249297,19.199151611798783,2.0535215754505103,2024
AUS,newcastle,2024-11-23 18:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-11-16 18:01:30.000,10.271924430919665,10.203627600350902,0.0682968305687623,2024
USA,st-louis,2024-10-16 05:01:30.000,4.7,1.0,0.3,2.0,2.0,2024-10-09 05:01:30.000,8.67384689317125,8.66650650554797,0.0073403876232802,2024
ESP,murcia,2024-11-10 23:01:00.000,5.7,1.0,0.3,2.0,0.0,2024-11-03 23:01:30.001,12.93473093637654,12.31740786571742,0.6173230706591184,2024
ESP,pamplona,2024-10-15 08:01:00.000,2.8,18.0,0.2,1.0,17.0,2024-10-08 08:01:00.000,14.58373503544153,14.13176118505062,0.4519738503909085,2024
AUT,linz,2024-10-06 08:16:30.001,8.1,6.0,1.8,3.0,6.0,2024-09-29 08:46:30.000,10.091058235539162,9.843120843137132,0.2479373924020294,2024
LUX,luxembourg,2024-12-26 19:01:30.000,0.0,9.0,0.0,0.0,24.0,2024-12-19 19:01:30.001,11.950865802730164,11.718417051192668,0.2324487515374969,2024
FRA,rouen,2025-01-01 20:46:30.001,0.0,6.0,0.0,0.0,6.0,2024-12-25 20:01:00.000,13.83574161319357,13.481466445518777,0.3542751676747926,2025
POL,lodz,2024-12-09 03:01:30.001,3.2,0.0,0.1,1.0,0.0,2024-12-02 03:01:30.000,13.200130811893874,13.298491456519228,-0.0983606446253535,2024
USA,colorado-springs,2024-12-08 05:01:30.000,0.0,3.0,0.0,0.0,2.0,2024-12-01 05:01:30.001,10.579182487186948,10.714969569733215,-0.1357870825462672,2024
USA,detroit,2024-12-23 20:31:08.742,427.0,30.0,88.0,144.0,31.0,2024-12-16 20:46:00.000,12.865410235471398,11.521166480074376,1.344243755397022,2024
CHE,lausanne,2024-11-19 20:46:30.001,19.9,18.0,2.9,2.0,8.0,2024-11-12 20:01:30.000,15.450171641787476,13.723285312620575,1.7268863291669003,2024
POL,gdansk-gdynia-sopot,2024-11-19 08:01:30.000,193.3,51.0,39.0,47.0,63.0,2024-11-12 08:01:30.000,18.420161431131103,16.629597460969542,1.7905639701615603,2024
USA,greenville,2024-10-21 20:45:51.201,202.9,38.0,55.4,56.0,34.0,2024-10-14 20:45:55.770,13.263095393365289,11.946086284668256,1.3170091086970324,2024
USA,syracuse,2024-10-15 15:00:34.553,63.1,17.0,13.7,11.0,10.0,2024-10-08 15:31:16.267,11.011472897567248,10.38014426157208,0.6313286359951675,2024
AUS,gold-coast,2024-11-03 06:01:00.001,11.1,18.0,4.5,5.0,23.0,2024-10-27 06:46:00.000,13.47261674835232,13.284685335080038,0.1879314132722811,2024
DEU,bremen,2024-11-29 23:01:00.000,0.0,5.0,0.0,0.0,5.0,2024-11-22 23:01:30.000,10.92853043896174,10.477784207865191,0.4507462310965486,2024
ESP,zaragoza,2024-11-12 11:31:00.000,19.1,22.0,1.3,5.0,20.0,2024-11-05 11:01:00.000,15.037448174318977,14.310054363234585,0.72739381108439,2024
SAU,dammam,2024-10-18 14:31:00.000,203.1,18.0,25.0,64.0,19.0,2024-10-11 14:31:00.000,11.635004471180086,11.492990902626994,0.1420135685530912,2024
CAN,edmonton,2024-11-06 15:16:00.000,133.5,27.0,25.7,45.0,29.0,2024-10-30 15:01:00.000,14.278931589549336,13.485368224177158,0.7935633653721794,2024
NLD,utrecht,2024-12-21 22:01:30.000,0.0,3.0,0.0,0.0,3.0,2024-12-14 22:01:30.000,8.723008358156855,8.754434459885665,-0.0314261017288099,2024
SAU,dammam,2024-10-19 12:46:00.000,100.6,10.0,13.2,26.0,10.0,2024-10-12 12:46:00.000,10.751126367480904,10.759691115025236,-0.0085647475443302,2024
ESP,madrid,2024-12-02 01:01:30.001,13.1,0.0,2.3,4.0,0.0,2024-11-25 01:01:30.000,12.938827375462484,12.634873569058705,0.3039538064037792,2024
GBR,preston,2024-12-08 07:01:30.001,0.0,0.0,0.0,0.0,2.0,2024-12-01 07:31:30.001,9.494188156431647,9.290074794460002,0.2041133619716451,2024
